Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,1322,1337.199951,1319.400024,1320.599976,1007.164001,379500
2005-01-04,1327,1338,1322.199951,1325,1010.519958,379100
2005-01-05,1334,1359.199951,1332.400024,1347,1027.298096,558800
2005-01-06,1340,1358.800049,1338,1349.199951,1028.975952,408700
2005-01-07,1351,1357.599976,1345.199951,1351.599976,1030.806763,311000
2005-01-10,1350.400024,1357.800049,1346,1354,1032.636719,253300
2005-01-11,1351,1354.800049,1336.599976,1343,1024.247925,326000
2005-01-12,1340,1344.800049,1322,1335.599976,1018.603943,308400
2005-01-13,1333,1337,1316.400024,1320,1006.706726,291600
2005-01-14,1324,1332,1320,1322.800049,1008.84198,235100
2005-01-18,1322.800049,1354,1314,1354,1032.636719,303700
2005-01-19,1354,1354,1338.599976,1340.199951,1022.112183,235600
2005-01-20,1340.199951,1344.199951,1317,1331,1015.095947,328600
2005-01-21,1330.199951,1338.199951,1320.800049,1322.400024,1008.536804,299100
2005-01-24,1324,1338.400024,1321.599976,1327.599976,1012.502686,237100
2005-01-25,1331,1344.199951,1327.800049,1340,1021.959961,272100
2005-01-26,1346,1351,1339.400024,1341,1022.722351,216800
2005-01-27,1336,1341,1321.599976,1328,1012.807556,233900
2005-01-28,1323,1324.400024,1310.800049,1317.199951,1004.571167,241100
2005-01-31,1327,1338.400024,1320.800049,1325.800049,1011.130066,253400
